name,diet,period,lived_in,type,length,taxonomy,named_by,species,link,time_period,time_span,continent,legs
supersaurus,herbivorous,Early Cretaceous 154-142 million years ago,USA,sauropod,35.0,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Diplodocoidea Diplodocidae,Jansen (1985),vivianae,https://www.nhm.ac.uk/discover/dino-directory/supersaurus.html,Cretaceous,12.0,North America,4
talarurus,herbivorous,Late Cretaceous 99-89 million years ago,Mongolia,armoured dinosaur,6.0,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria Ankylosauridae,Maleev (1952),plicatospineus,https://www.nhm.ac.uk/discover/dino-directory/talarurus.html,Cretaceous,10.0,Asia,2
tarbosaurus,carnivorous,Late Cretaceous 74-70 million years ago,Mongolia,large theropod,10.0,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Tyrannosauroidea Tyrannosauridae Tyrannosaurinae,Maleev (1955),bataar,https://www.nhm.ac.uk/discover/dino-directory/tarbosaurus.html,Cretaceous,4.0,Asia,2
tarchia,herbivorous,Late Cretaceous 75-68 million years ago,Mongolia,armoured dinosaur,8.5,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria Ankylosaurinae,Maleev (1956),gigantea,https://www.nhm.ac.uk/discover/dino-directory/tarchia.html,Cretaceous,7.0,Asia,2
telmatosaurus,herbivorous,Late Cretaceous 84-65 million years ago,Spain,euornithopod,5.0,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae,Nopcsa (1900),transsylvanicus,https://www.nhm.ac.uk/discover/dino-directory/telmatosaurus.html,Cretaceous,19.0,Europe,2
tenontosaurus,herbivorous,Early Cretaceous 120-110 million years ago,USA,euornithopod,7.0,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia,Ostrom (1970),tillettorum,https://www.nhm.ac.uk/discover/dino-directory/tenontosaurus.html,Cretaceous,10.0,North America,2
thecodontosaurus,omnivorous,Late Triassic 227-205 million years ago,United Kingdom,sauropod,2.5,Dinosauria Saurischia Sauropodomorpha Prosauropoda,Morris (1843),antiquus,https://www.nhm.ac.uk/discover/dino-directory/thecodontosaurus.html,Triassic,22.0,Europe,4
thescelosaurus,herbivorous,Late Cretaceous 76-67 million years ago,USA,euornithopod,3.5,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda,Gilmore (1913),neglectus,https://www.nhm.ac.uk/discover/dino-directory/thescelosaurus.html,Cretaceous,9.0,North America,2
torosaurus,herbivorous,Late Cretaceous 70-65 million years ago,USA,ceratopsian,7.5,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Coronosauria Ceratopsidae Chasmosaurinae,Marsh (1891),latus,https://www.nhm.ac.uk/discover/dino-directory/torosaurus.html,Cretaceous,5.0,North America,4
torvosaurus,carnivorous,Late Jurassic 155-144 million years ago,USA,large theropod,10.0,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Spinosauroidea Megalosauridae Megalosaurinae,Galton and Jensen (1979),tanneri,https://www.nhm.ac.uk/discover/dino-directory/torvosaurus.html,Jurassic,11.0,North America,2
triceratops,herbivorous,Late Cretaceous 68-66 million years ago,USA,ceratopsian,9.0,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Coronosauria Ceratopsidae Chasmosaurinae,Marsh (1889),horridus,https://www.nhm.ac.uk/discover/dino-directory/triceratops.html,Cretaceous,2.0,North America,4
troodon,carnivorous,Late Cretaceous 74-65 million years ago,USA,small theropod,2.0,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptoria Troodontidae,Leidy (1856),formosus,https://www.nhm.ac.uk/discover/dino-directory/troodon.html,Cretaceous,9.0,North America,2
tsintaosaurus,herbivorous,Late Cretaceous 84-71 million years ago,China,euornithopod,12.0,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Lambeosaurinae,Young (1958),spinorhinus,https://www.nhm.ac.uk/discover/dino-directory/tsintaosaurus.html,Cretaceous,13.0,Asia,2
